search_term,natural_language,counts,directionality,search_term_source,category,keep_term
umanidades dijital,lfn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
cisambililu cha dijitali,lun,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
makwa-kiwenzikwek,crm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
mātisiw ē-nēhiwākēwin,crk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
mistêhtêkihkwêwak miskotanitâkiwiyiniwak,crk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
kisiskāciwaw iyiniw wahkotowin,crk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᑎᒥᔅᑯᓯᐤ ᐃᔨᔨᐤᐦᑖᐃᓐ,crl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᑎᔨᑕᓪ ᐊᔨᒧᐎᓐ,crl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᓀᐦᐃᔭᐦᐃᑐᐦᐃᑯᐦᐃᐠ ᐦᐃᑐᐦᐃᑯᐦᐃᐠ,crl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᑎᒋᑕᓪ ᐃᔨᒋᑲᓐ,crl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᓀᐦᑕᒥ ᐊᐃᔨᓂᐊᐤ,crl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
nepinatamikamikamikw miskwatisiwini,crl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
nawakwakmiwikiniwki tâskwewikamik,crl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
misipaw-iskwewiniyinniwak kikinowak,crl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᑲᓇᑕᐠ ᐃᔨᔨᐤᐦᑖᐃᐧᐣ,crm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
moshkakahikewin,crm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
masinahikanihk kâ-isi-âpacihâcik,crm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
gidizhiwewin gizhawenimin,crm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ɂedehzhíéh k’éh,den,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
niskawewikamikw atimowinakon,crm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
kisikaw-mikinaak minji'ikewag,crm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
fer sir ki zot maryaz i ganny fer,crs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
imin dital,crs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
limanite nimerik,crs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
limannite numerik,crs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
lalang imen dijital,crs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
liditèl ètudis,crs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
limiriter lenmiz dijital,crs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
dilitiyan hwanitimi,crs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
digitální humanity,cs,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,True
digitální umění kultury,cs,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,True
cyfrowé humanistëka,csb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
cyfrowi humanistika,csb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
nēhiyawak pimatisiwin nāpewin,crk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
kâ-isi-âpacihcikâtêki masinahikana,crk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
pîkiskwêwin-mâmitonêhcikan êkwa askîwi-kiskêyihtamowin,crk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
mamāhtāwisiwin isi-kiskēyihtamowin,crk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᑎᒋᑕᓪ ᐊᔪᒥᕐᓯᐅᑎᑦ,cr,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᓀᐦᐃᔭᐤ ᐊᐦᑭᐦᑖᓱᐏᐣ,cr,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᑎᒋᑕᓪ ᐊᑕᒫᑲᓇᐣ,cr,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
nikotinâtâwak,cr,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᐋᓐᓂᕽ ᓂᕽᐦᑭᒧᐦᑕᐦᐬᐬᐯᐯᐬ,cr,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
miskwewcihkwewin miyowina kiskinohamiyawikwa,cr,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
kisiskāciwaw iyiniw mīna-mīnawin,cr,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
lii zhaang dii lii numérik,crg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
la digitaal l'humanité,crg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
numérik anshin,crg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
pisimwâtamowin iskwewak,crg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
lumanités dijitales,crg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
diyetik kwiinipimowin,crg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ракъамлы гуманитар фенлер,crh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
dijital gumanitar bilimler,crh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
raqamlı insaniyat,crh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
sayısal beşeriyat,crh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
raqamlı beşeriy ilimler,crh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
räsmiy insanlıkler informatika,crh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
dyjitali nüfusdarlıq,crh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᑎᒥᔅᑭᓂᐦᐃᑲᓂᐦᐄᑭᓂᒃ ᐊᔨᒧᐎᓐ,crj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᑎᔨᑕᓪ ᐄᔨᔫ ᑭᔅᑫᔨᐦᑕᒧᐎᓐ,crj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tapitawi-iskwapiwin,crj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᑎᒋᑕᓪ ᐊᔭᒥᐦᐄᐧᐃᓐ,crj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
nīhithapwīn ᒐᑳᓂᐦᐊᐧᐃᐤ,crj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
mâci-nîhciwâcihk,crj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tshishułimkik tuhtisiwiniwin,crj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
nihtawiyimisowin ikiniwak,crj,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᑲᐦᑭᐦᑖᐃᐧᐣ ᐊᐢᑭᓈᐦᐃᑲᐣ,crk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
cyfrowô humanistika,csb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
digitôlne humanistika,csb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
humanistyka digitalna,csb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
kikinahamaw iyiniw omaamawin,cwd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
y dyniaethau digidol,cy,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,True
ddigiteithrwydd ddysgeidiaeth,cy,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,True
dyniaeth digidol,cy,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,True
cyfanswmau cyfathrebu digitol,cy,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,True
cyfrol data,cy,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,True
digital humanistik,da,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
wíyawa wóuŋspe,dak,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
wowapi okaȟnige wayawapi,dak,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
woapiye tȟawíčuwa na wówapi tȟawíčuwa,dak,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
wíyóta wacípe oyáte,dak,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
wakpaŋyéla iktómi,dak,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
mitakuye oyapi tekipapi,dak,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
wičhastęŋha ska oyate wakháŋižowin,dak,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
цифровой гуманитарный илмуби,dar,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
циферу дихiиналцӏа,dar,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
digitali za wanadamu,dav,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tatumi ya kudijitali,dav,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
maji maji ya kisasa,dav,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
mvulana yasimba yautaifa,dav,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
dhāyikīya sahitya,dcc,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
ḍiஜitaḷa mānavaśāstra,dcc,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
ಡಿಜಿಟಲ್ ಮನಸ್ಕರ್ಷಿಕ,dcc,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
digitale philologie,de,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,True
ntèntèn ahkwi wìlawàn,del,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
wapalaahkwikan,del,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
lënape hëlihëleokàn,del,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
hwudlɛnɔmɛtɪkɛ hɑʊmɛrɪtɪs,del,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
nàwewàl wàwàsh,del,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tsiluague nuatilimunekutik,del,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
dyniaethau digidol,cy,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,True
miskwewcihkwewininiwin,cwd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
digitalné òdnowé,csb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
wahkotâw-nêhihci-mâci-nîhci,cwd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᑲᐦᑭᐦᑖᐏᐣ ᐊᐢᑭᐦᑕᐏᐣ,csw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᓀᐦᐃᔭᐏᐣ ᑭᓀᐦᐃᑐᐏᐣ,csw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
masinahikewin kiskinwahamakewin,csw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
nīhithawak pimatisiwin,csw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᐋᖙᖕᖗᖖᖘᖗᖖ ᖄᖕᖗᖖᖘᖗᖖ,csw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
miskwewak kiskinowiniwin,csw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
kistikawisimak creewininiyik,csw,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
hmanhnaing digital,ctd,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
di-gi-ta hman-lau,ctd,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
dkawp hlumathuaswnti,ctd,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
цифрьнаѧ человѣчьскаѧ наука,cu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
цифрова мѫдрость,cu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
цифрьна хумьнистика,cu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
цифровьнаѧ чловѣчьскаѧ мѫдрость,cu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
дигитална умень,cu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
цифрьнꙑи ꙳ѹманꙑи,cu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
дигитална хуманитарна наука,cu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
цифра гуманитари,cv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
цифрави гуманитарий,cv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
цифрлă гуманитари ăслăлăхсем,cv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
цифрăллă гуманитари ăслăхĕсем,cv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
цифрăллă гуманитаристика,cv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
цифрола ӳнер,cv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
дигитал ҫылкын,cv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᑲᐦᑭᐦᑕᐍᐏᐣ ᐊᐢᑭᓈᐦᐃᑲᐣ,cwd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᒪᒪᐗᐤ ᑭᑭᓄᐊᒪᑫᐎᓐ,cwd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
mīkisowin kīsikāw askiy-apihtawikosisān,cwd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᑭᐢᑫᔨᐦᑕᒧᐏᓇ ᐅᒪᐢᑭᓯᐏᐣ,cwd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
nîtîwâtakêwinôhk,cwd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ᑲᐦᑭᔭᐤ ᐊᐢᑭᓈᐦᐃᑲᐣ,cr,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
mga talambong digital,cps,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digmahanon sa mga sining,cps,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
aramas mi digital,chk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tekinolojia me aninis,chk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
mwichen kompyuter me aramas,chk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
fouen fichu me fichu fichu,chk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
rongorongon tekinik,chk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
mwanei inetan,chk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
manamwāni ĩlāp,chk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tetekuletele telekolese,chk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
humanitåes digitål,chk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
цифровой гуманитарный науко,chm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
цифр гуманитар наукывлак,chm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
цифр гуманитарлык шанче,chm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
илеме пӱртӧвлымаш,chm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
čiktə-həčə-čəktə-čəktə-həčə,chm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
диджиталъ хуманитариялъ,chm,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ikta kopa masi,chn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
boston illahee mamook kopa ikta,chn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
saghalie t'səmkum kəmt'səmkum,chn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tenas kopa skookum tzum,chn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
kwixwitl kwixwitl,chn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
klaska saχʷíkʷəɬ,chn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
lək̓ʷətsemwəl șəxʷəyeš,chn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tek'-tin-maht-lek'-luk,chn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
nashoba holissochi,cho,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tisholi holisso aiimpa,cho,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
yukpa akucha,cho,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
anumpa apesa holisso,cho,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
okla pili moksha,cho,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
hokma chikasha apachapna,cho,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tłakchko tłalātli oklokomahvlvli,cho,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
kopwe tongeni süföliti aramas,chk,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
технологиял-и әдәбият,chg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
deneyu̜ bé nįdhé k'e̜ ts'ı̨́lı̨ nágháįdá,chp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
دیجیتال هنسیم,chg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
дигиталнә архитөмлөгү,ce,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
дигиталны ӏуманитарнӕх,ce,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
digital nga mga humanidad,ceb,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digital nga mga tawhanon,ceb,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
diyital nga humanidades,ceb,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digma nga kasayuran,ceb,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
huminidades digital,ceb,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
obuntu bwa digito,cgg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
obuhangwa bwa dijito,cgg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ebyobugabe bya dijito,cgg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
obuhumanisti bw'eby'okumanya obw'omutindo gwa digital,cgg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
obuhanga bw’eby’omukono,cgg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
bukoloni za digitali,cgg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digitaal ɛnɛmɛ,cgg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
muhimiyasi digitali,cgg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
humanidåt digitali,ch,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
humanidåt digitåt,ch,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
humanidådes dihetåt,ch,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
humantat na digital,ch,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
humañå-åddison digital,ch,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tumahooluhu digital,ch,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
muysccubun quyhynuca suhusa,chb,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
muysca zaguaz hiuza,chb,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
kamësaka'waka,chb,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ñut'a kawsí,chb,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tecnohumanidades,chb,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
رقمی انسانییات,chg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
رقملی علوم انسانیه,chg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
رقملىق ئىنسانىيەت,chg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
humanities okla-digitali,cho,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ɂëłë́ghë́łë́ ts'ë́nk'ë́,chp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
digital nga mga humanidades,cps,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
khaṇḍa pāṭhakaṃ digital,cjm,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True
tworinhos digitals,cjm,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True
санал кижи билиглери,cjs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
цифрлыг гуманитарлыг,cjs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
dhātīgītiyādharmikā,cjs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
үлэмнэгдүүлэг үндэсний мэдээлэл,cjs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
زانستە مرۆییە دیجیتاڵییەکان,ckb,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True
زانستە دیجیتاڵییەکان,ckb,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True
dîgîtâl hunerên însanî,ckb,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True
ھونەرێ زانستێ دژفەلەكی,ckb,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True
هاینټیلوری یدکی,ckb,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True
مجالهای دیجیتالی بشوئی,ckb,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True
рыръытӄыт ынӄэнэт,ckt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
нүүрийн тэрилгэ,ckt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
хукыт анаалык,ckt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ts'ilhqox computer nits'ilhtin,clc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
duneh hwts'at'in yaghedi,clc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
dijital huminities,clc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tłįkʷaɬtən,clc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
dúgilis t̓íłt̓ín,clc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
lxáat gwaay',clc,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
umanitàt digitali,co,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ⲛⲉⲩⲉⲛⲧⲉⲣⲛⲉⲧ ⲛⲉⲩⲁⲛⲑⲣⲱⲡⲟⲥ,cop,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
ⲛⲓⲙⲁⲑⲏⲙⲁ ⲛ̀ⲇⲓⲅⲓⲧⲁⲗ,cop,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
ⲧⲉⲭⲛⲏ ⲛ̀ⲧⲉ ⲛⲓⲙⲉⲧⲣⲉⲙⲣⲁⲛ ⲛ̀ⲧⲉ ⲛⲓⲇⲓⲅⲓⲧⲁⲗ,cop,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
ⲛⲓⲭⲣⲏⲥⲓⲥ ⲛⲧⲉⲛⲣⲱⲙⲓ ⲛⲧⲉⲛⲥⲁϫⲓ,cop,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
الحوعة الديبية الدیبي,cop,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
ϩϫϭϫⲓⲥⲉⲟⲟⲓϩ ⲡⲉⲣⲓⲥⲧⲟⲥ,cop,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
ⲡⲓⲉⲧⲱⲛⲥⲁⲙⲉⲩⲕⲟⲧⲫⲓⲛ,cop,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
ⲧⲉⲓⲣⲏⲧ ⲛⲏⲧⲉⲓⲁⲛⲇⲣⲟⲥ,cop,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True
kỹ thuật số ân sư,cjm,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True
khoa học xã hội kỹ thuật số,cjm,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True
dene kʼę́nį́nį́ nı̨́nı̨́,chp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
kỹ thuật số nhân văn,cjm,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True
ᓴᐃᑦ ᒥᕿᐊᔨᓂᐊᐧᐊᐠ,chp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
dëgihtì n’dëné,chp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
dziyàwà tínànìk kìtchìnà,chp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ꮧꭷꮓꭹ ꮪᏻꭺꮫ,chr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ꮧꮞꮝꮧ ꭴꮼꮃꮸꭿ ꮷꮼꮃꮸꭿ,chr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ꮧಜಿꮣꮅ ᏼꮻ,chr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ꮧꭶꮨꮿ ꭰꮒᏼꮻ ꭰꮄ ꭴꮼꮺꮃꮕꭿ ꭰꮣꮕꮦꮅꮩꮂ,chr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ꮧꮎꮣᏹ ꭴꮅꮝꮫꭲ,chr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
ꭰꮣꮒꭷꮅꮝꮤꮑꮧ ꭴꮥꮅꮫ,chr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
vé'ho'éome hoháéstse,chy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
hestȯhevȯö'e hestȯhevȯö'e,chy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tséhéstáno'êstse ma'xemó'êstse,chy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
wóótʼeełiŋaapi,chy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
vóóhiniíse tsiínéé,chy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
češké informatión,chy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
tsétsahtsi bitóóhane',chy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True
holhchifo atoksvli,cic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
talhípa' holisso isht anompoli,cic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
holisso pīsa' chiho'li,cic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
anumpa tosholi holisso,cic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
ichihiyókta okchá,cic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
apalahtachkila huchapokni,cic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tsalagi tsioggi vlohi mvna,cic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
tsiyąłhili ha'aláŋna,cic,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True
វិទ្យាសាស្ត្រ​មនុស្ស​ឌីជីថល,cja,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True
