search_term,natural_language,counts,directionality,search_term_source,category,keep_term,directionality_conflict,ltr_languages,rtl_languages
xam-xam yu dijital,wo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
xam-xam yu nimre,wo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
xam-xam ak jàngin ci wàllu numbër,wo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
xam-xamu mbindum jëmm,wo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tëneemoojumbeenam,wo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digtal ŋaari,wo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dijital xumawisat,wo,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
平窗会公司,wuu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
数字文化学,wuu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цахим хүмүүнлэг,xal,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
дигитальн хүмүнлһн,xal,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
дигитал ном зүй,xal,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифрин хүмүүнлгин ухана,xal,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
дигитал хуманитарийн,xal,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифрови хүнийлэгзн,xal,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
диджиталдагы үлгүлөр,xal,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
дигитал хүмэнэт,xal,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
xcr digitaal humaniora,xcr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ku-ša-pi-ta-ri-ku,xcr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dīgitalis anthropologiya,xcr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ulwazi lwedijithali lwezobuntu,xh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ubuntu lwedijithali,xh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
iingxaxhebe zomthetho wezindaba,xh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
izinhumunzi digital,xh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitaal-humanities,xld,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
muanjinjamu imanisi digitini,wni,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ubumwanjaro wa dijitali,wni,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
teknologi mo sikolagi digita,wls,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
wawuwarri jukurrpa,wbp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ዲጅታል ባህላዊ ምሁራዊ ጥናት,wal,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ምልክትዎ ባህሪያ,wal,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ባህል ክርስትያን መግለጫ,wal,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digital nga pagtuon han katawohan,war,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digital nga kasaysayan,war,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mga hinumdum nga digital,war,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digityal nga kultura,war,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
yimi-kuruwarri-jinta yirrarnu-manu,wbp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kuja-kuja yimi-kari-kari manu kuja-kuja yimi-kari-kari manu kuja-kuja yimi-kari-kari manu,wbp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ngurra-kurlangu kurdu walytja,wbp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ngalyirrkurrpa wirrinytjarrpa,wbp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ngapartji-jukurrpa nyinku-jukurrpa,wbp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
takamoa digitale,wls,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ਡੀਜੀਟਲ ਮਾਨਵਤਾ,wbq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitaal ŋaam ŋaam,wbq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
دیجیټل هنسیم,wbq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
yalang-wurrk miriyan,wbq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ŋɔmɛrɛ wɩlɩtɩ,wbr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitaal mānava-shāstra,wbr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
teki fakalotu,wls,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
fakaʻatamai numela,wls,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
fakamālie faʻahinga tohi fakaʻeleʻele,wls,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tāpui fakataha,wls,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
faka-numera'i 'ua faka-ātau,wls,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ikyegh u dijital,tiv,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mbatsav u igba,tiv,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
መዝግበሪ ኤኮሊክሲያል,tig,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
sayansi ya dhijitau,seh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dekitahausiniyut,scs,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
k'ehtsi dene zho,scs,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
دیجیټل هنسنیم,sd,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
زانستە مرۆڤییەکان,sdh,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
مرۆڤایەتی دیجیتاڵ,sdh,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
bingehê dîjîtî,sdh,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
هۆمیالیک ڕایزمانی,sdh,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ماشینه‌ی دیجیتالی بنویسه‌ی بشتی,sdh,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitála humanisttalaš dieđat,se,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitála humanitáradieđat,se,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitála humanitehtat,se,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitálalaččelaččat,se,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digiitali vabbiidjat,se,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
diguilalus sámiid bannan,se,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ganöhsashö:ni' gayę́hsagö',see,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
studia humanitatis digitalia,see,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
matswiri ya digital,see,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
litterarum artificium digitale,see,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
humanitas digitalis,see,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kɔmpitɛri kàranna,sef,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitali kɔrɔbɔɔ,sef,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kɔlɔjɛlɛ kɛlɛkɛlɛ,sef,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tamaɲi tereɖo,sef,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
gbo'n gbo'n ŋɔɔŋɔɔ lɛɛŋ lɛɛŋ,sef,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ditigili yàmàfua,sef,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dı̀hghàtsògòdèhgòdèh,scs,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ŋiłįįtłı̨k tłı̨chǫ,scs,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
k’èhts’èdı̀ k’èàgǫht’ę,scs,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
sayansi ya kidijitali ya uunadamu,sbp,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
டிஜிட்டல் மானிடவியல்,saz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ଡିଜିଟାଲ୍ ହ୍ୟୁମାନିଟିସ୍,saz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ḍiṭijāl mānavītya,saz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
દીજિટાલ મનવિયતા,saz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ડીજીટેલ મનસકોશ,saz,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
mbàngri nùmèrìk,sba,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dital humani,sba,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kɛyɔm ɓɛnɗɛrɛ,sba,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
gbere-ngbay-dii-ngu-dii,sba,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ngambe djalugurru,sba,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
teknoloji digitale mbangi,sba,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kigitala kyelezo,sbp,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dene ts'ílií k'eh ts'ílií,scs,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ubutumwa bwa digitali,sbp,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
khaṭṭi kalaṅkāra,sbp,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dʒɪˈdɪtəl ˈhjuːməniːtiːz,sbp,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
teknoloji ya bashara wa dunia digitali,sbp,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
umanidades digitales,sc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
umanitatis digitales,sc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
umanitati digitali,scn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
umanistichi digitali,scn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
humanitā digitali,scn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitals leidenschafts,sco,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitale huimescinscais,sco,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
senoufo digital humanitiz,sef,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tidital hiumanities,seh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ឌિজিটাল ᱦᱩᱢᱟᱱᱤᱴᱤ,sat,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mupfumbi wetekhnoroji,seh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
skaitmeniuomenės žmogu,sgs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dyginė humanistika,sgs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tinktinės humanitarijos,sgs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ⴰⵙⵉⵏⴰⵡⵏ ⵏ ⵓⵎⵙⵙⵏⵏ,shi,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ⵜⴰⵙⵙⵏⵉⵡⵉⵏ ⵜⵓⵎⵥⴰⵢⵉⵏ ⵏ ⵓⴼⴳⴰⵏ,shi,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ⵜⵉⵣⵔⴰⵡⵉⵏ ⵜⵉⵏⵎⵓⵔⵉⵏ,shi,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tamaẓart n usṭṭiq,shi,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tighatut n umuḍaw n numrud,shi,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
itnān l-tutlil,shi,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
المنهجيات الرقمية الإنسانية,shu,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
الهنسنة الرقمية,shu,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ඩිජිටල් මානව ශාස්ත්‍ර,si,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
දිගිතල මනසුණිකය,si,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijitaal hiyumaanitiis,sid,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dijitaala seena-namaa,sid,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dijiitaali mannu,sid,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dijitaala humaaniitii,sid,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dagimtii gadaa,sid,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
harkawaa daddabsiisa,sid,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitálne humanitné vedy,sk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitálne humanitné štúdiá,sk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitálne umenia,sk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitálne humanitné viedy,sk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
دیجیټل هنسن,skr,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
دیجیٹل انسانوں کے محققات,skr,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dėgėtalėnē mokslē,sgs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
skaitmenė humanėstėka,sgs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dėgitalė humanitarė,sgs,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
mabumbe ya digital,sg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijital sanatlar,seh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
taa'a xapaj,sei,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
hant ihiip hac caaixaj cöquihaat,sei,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tɨnɔ́kʷa tɛ́mɛ,sei,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kó'o-kó'o-hóo-hóo-hóo,sei,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
interneti goykaw,ses,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijitali adamizey ciney,ses,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
teeɓeɗɛɓeɗeɓe,ses,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitaal ŋɔɔŋɔɔ,ses,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ni-tin-yi-digitali ni-humanitii,ses,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
sango tî mbênî-terê,sg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
sêndâgî tî nëngö-mbëtï,sg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
éscana dígitil,sga,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tɔmɛnɛ tɔrɔ,sg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mabanga ya dijitala,sg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mwntamunika digital,sg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
nyamata yi digitál,sg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
díghaltraí daonna,sga,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dánae digitacha,sga,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digiteach daonnachtaí,sga,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dígitail dóenacht,sga,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dligtheacht na daonnachtaí,sga,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
comhfhionnachtanaí digiteach,sga,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
díthromantúlacht,sga,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
छोटा-बड़ा विज्ञान,sat,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dharmat bhasa digital,sat,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitalne umanosti,sl,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,True,False,,
ubumenyi bw'ikiremwamuntu bwa digitale,rw,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tahina-tsara ny andriana,rof,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitalno manushipen,rom,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitali manushikane,rom,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
džipalų manuš,rom,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
humanitete digitale,rom,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
hạnisi fakteknolosi,rtm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
faka'ese fakatekinolosi 'o te gagana ma te 'aso,rtm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kai vavalagi,rtm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
felu'a numeral,rtm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
faifai ʻōnohi,rtm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
humana na digitale,rtm,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
дискурсивные искусства,ru,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,True,False,,
цифровы гуманітарны науки,rue,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ціфрови гуманітарны науки,rue,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
діджіталны гуманітарны наукы,rue,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
діґіталны гуманітны наукы,rue,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
дігітална гуманітарія,rue,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифровы́ гуманита́рни науки́,rue,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitálne umienie,rue,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ngalu'u digital,rug,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
talava digitale,rug,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
humana sapot na digitale,rug,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
umanismlu digital,rup,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
umanistici digitale,rup,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
umanistigi digitali,rup,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
difirantši hwnanti,rof,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
huministiko dijitala,rof,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
koŋaŋaŋa tɛrɛtɛra,rof,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
inginyo y'amahoro cy'ibiringyo digitale,rn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
džipalŭ džipanų,rmy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
đixitala ȟumanistika,rmy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
дигитални гуминовщина,rmy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitál humanitá,rmy,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ubuhinga bwa none mu vy'inyigisho z'ikiremwa muntu,rn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ubumenyi bw'ikiremwa muntu bukoresha ikoranabuhanga,rn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ubumenyi bw'ikoranabuhanga mu bantu,rn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ubumenyi bw’ikoranabuhanga mu bintu vy’abantu,rn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ubururezi wa digital,rn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kutlwa kwemanyeta e-digital,rn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
muhimbiyati digitale,rn,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
vutivi bya tinhlayo ta dijitali,rng,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
umanitate digitale,roa-rup,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ubunifu wa kidijitali,rng,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
vuhumano bya digitali,rng,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
m'bɔɔŋŋa ŋɔɔŋŋa,rng,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
xitshonshi yfudziwane digitelyelwa,rng,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
umhlaba we-digitali,rng,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
umanități digitale,ro,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
umanioare digitale,ro,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
humanitatea digitală,ro,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
umanitătsli digitali,roa-rup,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
shumãnãturã digitalã,roa-rup,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
umanistigi digitale,roa-rup,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
umanitate digjitale,rup,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ubumenyi bw'ikoranabuhanga mu bumenyi bw'abantu,rw,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ᱰᱤᱡᱤᱴᱟᱞ ᱢᱟᱱᱣᱟ ᱥᱟᱬᱮᱥ,sat,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ubumenyi bwa digital,rw,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
саннык гуманитарнай наука,sah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
санаарый гуманитар үөрэхтэр,sah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифрoвoй гуманитарнай билии,sah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
malu a ditala a bantu,lua,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
дьиккыр культура,sah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
дигитал гуманитарнайа,sah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
диджиталысын көрсөтүлгөн умумиятуулук,sah,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
𐤃𐤉𐤂𐤉𐤕𐤀𐤋 𐤇𐤌𐤍𐤉𐤌𐤉𐤌,sam,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ܐܘܡܢܘܬܐ ܕܝܓܝܛܠܝܬܐ ܕܐܢܫܘܬܐ,sam,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
הומניא דיגיטליא,sam,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ܐܢܫܘܬܐ ܕܝܓܝܛܠ,sam,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ܡܟܬܒܐ ܕܠܘܚܢܐ ܕܫܪܝܥܐ,sam,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ܕְהוܿܝܿܘܬ݂ ܩܿܛܿܪ݂ܣܿܝܿܢ,sam,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
מְצוּרָף חכמה בנים,sam,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ng'ejukie olkigirri,saq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
lkishu oo nkishu naataa nkishu,saq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
samburu: aitikiria ya digital,saq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ilokono loolumutari loolo e-ng'a,saq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
eng'etokonu nchumuri,saq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kujiunga wa maarifa na diguili,saq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
bhuwitan manusia,sas,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kultur komputer,sas,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
keteknologi digital,sas,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ᱫᱤᱡᱤᱛᱟᱞ ᱦᱩᱢᱟᱱᱤᱛᱤ,sat,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ᱰᱤᱡᱤᱴᱟᱞ ᱢᱟᱹᱱᱣᱟᱹ ᱥᱟᱬᱮᱥ,sat,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
teknoloji ya insanit wa afya,saf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dhātivādavidyā,saf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
nalika-nalika a'a,saf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
